Plant_Id,fuel_cost_2012.01,fuel_cost_2012.02,fuel_cost_2012.03,fuel_cost_2012.04,fuel_cost_2012.05,fuel_cost_2012.06,fuel_cost_2012.07,fuel_cost_2012.08,fuel_cost_2012.09,fuel_cost_2012.10,fuel_cost_2012.11,fuel_cost_2012.12,generation_MWh_2012.01,generation_MWh_2012.02,generation_MWh_2012.03,generation_MWh_2012.04,generation_MWh_2012.05,generation_MWh_2012.06,generation_MWh_2012.07,generation_MWh_2012.08,generation_MWh_2012.09,generation_MWh_2012.10,generation_MWh_2012.11,generation_MWh_2012.12
593,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55418.00,22834.00,90866.00,107050.00,153518.00,122744.00,188536.00,157184.00,83074.00,72694.00,23391.00,-1781.00
594,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43074.00,48085.00,27681.00,61842.00,155479.00,151181.00,215177.00,152118.00,145422.00,134954.00,175439.00,96050.00
599,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3771.00,11556.00,4190.00,2717.00,0.00,25.00,0.00
602,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,329759.00,294519.00,276357.00,402012.00,610401.00,478282.00,659524.00,583618.00,349834.00,325399.00,344188.00,222899.00
603,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2645.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
604,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,2103.40,2258.20,2891.50,1582.00,957.30,1559.70,2145.20,3274.40,1516.50,1611.80,4623.80,2718.10,0,0,0,0,0,0,0,0,0,0,0,0
612,530.30,501.70,465.10,469.80,459.50,478.60,494.00,496.40,483.40,507.10,2965.40,552.10,261337.00,255804.00,285521.00,219006.00,297450.00,275846.00,290399.00,299177.00,296361.00,268508.00,261965.00,212837.00
613,530.30,501.70,465.10,469.80,459.50,478.60,494.00,496.40,483.40,507.10,555.40,552.10,96633.00,89755.00,75170.00,104373.00,112845.00,70002.00,109361.00,143916.00,139138.00,144438.00,122724.00,104846.00
617,530.30,501.70,465.10,469.80,2654.20,478.60,494.00,496.40,483.40,507.10,555.40,552.10,-4502.00,-1584.00,106917.00,132052.00,129598.00,139930.00,157646.00,163280.00,122117.00,86124.00,22044.00,30210.00
620,530.30,501.70,465.10,469.80,459.50,478.60,494.00,496.40,483.40,507.10,555.40,552.10,268744.00,282660.00,197815.00,183677.00,243109.00,341327.00,368117.00,361967.00,377004.00,273191.00,255613.00,272418.00
621,530.30,501.70,465.10,469.80,459.50,478.60,2230.50,2369.40,483.40,507.10,555.40,4536.60,201101.00,194270.00,284035.00,313826.00,290002.00,278274.00,324227.00,350997.00,302261.00,294351.00,147513.00,181940.00
628,4107.00,2145.10,2354.40,2821.70,2791.20,2377.30,1805.30,2396.90,3144.40,2262.50,2764.70,5494.20,536682.00,677874.00,928350.00,984869.00,1029166.00,949315.00,1091392.00,1020515.00,924305.00,888507.00,564159.00,469634.00
634,1118.00,1114.00,1084.00,1186.00,1188.00,1168.00,1108.00,1146.00,1146.00,1198.00,1144.00,1072.00,240889.00,168750.00,0.00,30835.00,251534.00,192732.00,247357.00,266244.00,227612.00,243332.00,186439.00,205583.00
638,509.00,499.00,478.00,525.00,537.00,534.00,508.00,526.00,527.00,546.00,515.00,483.00,38934.00,33661.00,41932.00,43730.00,49068.00,41902.00,54183.00,43780.00,44681.00,41779.00,39568.00,41505.00
641,1652.70,1009.60,640.50,1074.10,728.10,3090.70,1151.80,1063.50,3285.90,6067.00,1289.80,1407.00,207710.00,203121.00,222661.00,227262.00,325048.00,341756.00,275350.00,295587.00,163244.00,159288.00,137582.00,212118.00
642,2672.30,2737.80,2940.30,2914.50,2567.70,2274.30,2232.20,2425.50,4066.60,2353.80,2057.10,2217.20,-441.00,-397.00,-396.00,-321.00,-453.00,-420.00,5977.00,-449.00,-411.00,-385.00,-396.00,-407.00
643,1232.30,4060.70,4452.40,3720.10,3636.50,775.60,3027.40,3217.30,3534.30,3560.40,3478.90,812.00,188005.00,193680.00,186205.00,172975.00,205260.00,175436.00,236073.00,232741.00,192128.00,162517.00,182637.00,170511.00
645,3324.20,3118.00,3406.90,3318.30,3042.40,2959.90,3429.20,3343.80,3347.40,3336.20,3527.50,3308.80,949578.00,974353.00,897460.00,561569.00,589828.00,715054.00,796355.00,931820.00,806001.00,839130.00,741091.00,742515.00
663,1157.00,1555.90,1530.60,1108.30,2927.80,1194.20,1565.50,789.40,1553.10,1580.90,783.10,1134.10,88655.00,91478.00,82821.00,64867.00,95147.00,95761.00,104142.00,94465.00,99559.00,51380.00,41886.00,70904.00
664,457.40,464.30,414.50,345.90,425.50,435.10,433.70,419.40,442.80,435.40,400.70,384.90,8210.00,0.00,5680.00,13604.00,11527.00,12902.00,22156.00,24371.00,16786.00,19934.00,16152.00,12835.00
666,415.10,414.00,285.70,310.80,321.00,333.60,390.70,404.20,369.80,412.20,451.80,496.20,0,0,0,0,0,0,0,0,0,0,0,0
667,946.20,681.10,285.70,705.50,321.00,333.60,390.70,1111.60,682.90,412.20,451.80,763.60,381243.00,162867.00,209257.00,232583.00,164042.00,132659.00,310864.00,266729.00,234435.00,125093.00,125447.00,18436.00
672,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,123.00,3585.00,2751.00,1136.00,349.00,243.00,184.00,0.00,0.00,0.00
673,0,0,0,0,0,0,0,0,0,0,0,0,-93.00,84.00,66.00,2224.00,2035.00,495.00,673.00,-102.00,-47.00,39.00,-24.00,-32.00
675,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
676,1881.40,1457.30,1062.00,1041.50,1531.90,1538.80,1610.50,1632.60,1969.00,2080.70,2068.50,1660.40,178079.00,172407.00,172966.00,90283.00,185947.00,189698.00,211787.00,208656.00,197105.00,161744.00,189041.00,166441.00
683,1317.00,283.50,253.70,241.70,306.00,302.00,376.20,2835.00,356.70,2935.50,394.10,356.60,0,0,0,0,0,0,0,0,0,0,0,0
688,609.00,658.00,555.00,549.00,575.00,592.00,608.00,546.00,594.00,463.00,442.00,456.00,39908.00,34499.00,39517.00,33038.00,54064.00,59341.00,66521.00,54044.00,41643.00,34233.00,43141.00,33973.00
689,609.00,658.00,555.00,549.00,575.00,592.00,608.00,546.00,594.00,463.00,442.00,456.00,40171.00,32023.00,40188.00,40982.00,29569.00,21566.00,15343.00,42662.00,41447.00,47194.00,33031.00,42639.00
693,0,0,0,0,0,0,0,0,0,0,0,0,0.00,102.00,522.00,5449.00,1569.00,213.00,313.00,920.00,271.00,0.00,0.00,94.00
703,9164.30,6377.10,8213.00,8392.50,7642.00,6158.80,6749.70,6518.30,6783.30,6517.70,5683.90,5999.10,961748.00,454846.00,808838.00,1089937.00,1284082.00,740811.00,1195925.00,1088064.00,968527.00,839296.00,144436.00,-10767.00
